ReportMonth,ClientID,ClientName,GrossConversionRate,OrderVolume,TotalSales,ShareRx,ShareGenericRx,ShareBrandRx
01-09-2023,752759,Eta Solutions,0.9514,23567,650486.48,0.1255,0.7069,0.1676
01-05-2023,803739,Theta Enterprises,1.6428,13373,500576.31,0.2488,0.2492,0.5021
01-01-2023,643240,Eta Solutions,1.0241,18122,639693.62,0.5744,0.361,0.0646
01-10-2024,187630,Iota Partners,1.3807,24104,824497.36,0.0792,0.5887,0.3321
01-04-2023,120359,Kappa Dynamics,1.4575,21787,554653.26,0.3121,0.298,0.3899
01-11-2023,245847,Epsilon Ltd,0.6309,15192,614085.1,0.0655,0.0984,0.8361
01-05-2024,691382,Theta Enterprises,1.2825,15527,496342.08,0.7685,0.1541,0.0773
01-03-2024,397076,Eta Solutions,1.2596,22551,1468051.45,0.3682,0.624,0.0079
01-02-2024,117473,Eta Solutions,1.981,15723,868185.58,0.2342,0.6443,0.1215
01-05-2023,576475,Theta Enterprises,1.2429,17577,542029.19,0.1373,0.6119,0.2507
01-04-2023,315676,Beta LLC,2.4042,24420,1173614.62,0.2004,0.2607,0.5389
01-03-2024,311607,Alpha Corp,2.1294,22362,860971.17,0.1792,0.6809,0.14
01-12-2023,226126,Eta Solutions,1.2033,12287,537215.66,0.1267,0.2799,0.5934
01-06-2023,331332,Gamma Inc,0.8139,29406,1569364.99,0.0878,0.1755,0.7367
01-04-2024,784663,Theta Enterprises,1.4935,18252,1127904.5,0.5356,0.057,0.4075
01-12-2023,639288,Theta Enterprises,0.7808,16708,444229.85,0.0087,0.6124,0.3789
01-08-2024,587789,Epsilon Ltd,0.9824,26826,1891777.28,0.5556,0.079,0.3654
01-09-2024,458323,Zeta Group,1.4551,28758,1431431.25,0.0476,0.666,0.2864
01-01-2023,882924,Gamma Inc,2.0904,19225,754759.96,0.6586,0.1064,0.2351
01-11-2024,564895,Kappa Dynamics,0.5632,14366,407556.95,0.0094,0.5992,0.3914
01-12-2023,974416,Gamma Inc,0.6279,29731,1927648.18,0.0076,0.8202,0.1722
01-02-2023,382486,Theta Enterprises,1.4008,26531,1471956.8,0.1481,0.2731,0.5788
01-08-2023,942523,Iota Partners,1.2536,29626,1353559.02,0.188,0.3005,0.5115
01-05-2023,574665,Epsilon Ltd,0.5703,23306,1164880.27,0.0223,0.7793,0.1984
01-08-2024,512305,Gamma Inc,0.9887,15290,896733.51,0.0456,0.401,0.5534
01-05-2024,355644,Kappa Dynamics,1.102,16731,851200.27,0.2088,0.5988,0.1924
01-09-2023,740023,Eta Solutions,1.4202,22446,1084571.25,0.1755,0.4299,0.3946
01-04-2024,286305,Zeta Group,1.351,29593,1323238.32,0.3742,0.3952,0.2305
01-05-2023,490881,Epsilon Ltd,2.0349,25062,1019982.62,0.0228,0.8495,0.1277
01-12-2023,418199,Kappa Dynamics,2.4234,11734,601936.92,0.5562,0.308,0.1359
01-05-2023,509007,Iota Partners,1.7537,18731,1322590.56,0.2834,0.3979,0.3188
01-04-2023,334328,Eta Solutions,1.2333,13893,455024.58,0.307,0.0523,0.6408
01-07-2024,842025,Eta Solutions,0.8617,16364,662640.71,0.478,0.0705,0.4515
01-01-2024,271311,Zeta Group,1.9747,13144,807627.99,0.0493,0.5357,0.415
01-10-2023,571436,Eta Solutions,2.3985,23267,1608175.23,0.617,0.2206,0.1625
01-09-2023,939729,Theta Enterprises,1.7021,29180,1537267.2,0.728,0.0915,0.1806
01-04-2024,239959,Eta Solutions,2.242,20956,959808.48,0.207,0.6548,0.1383
01-11-2023,923565,Gamma Inc,1.1414,12968,365287.55,0.524,0.2295,0.2465
01-01-2023,601533,Epsilon Ltd,2.2287,20233,944196.48,0.0478,0.0736,0.8786
01-03-2024,807057,Epsilon Ltd,1.8228,27099,897517.36,0.8981,0.029,0.0729
01-08-2023,712259,Kappa Dynamics,2.2982,23436,848629.44,0.0983,0.6373,0.2644
01-04-2024,385069,Epsilon Ltd,0.612,23151,592216.28,0.2195,0.4183,0.3622
01-04-2023,853330,Iota Partners,0.7991,28817,1756036.13,0.4267,0.2,0.3734
01-08-2024,477442,Eta Solutions,2.2847,24043,1596475.28,0.4606,0.2953,0.2442
01-05-2024,817628,Delta Co,0.7673,23865,1735840.62,0.1877,0.4092,0.4031
01-05-2024,239350,Beta LLC,1.1509,16629,549995.09,0.1696,0.5522,0.2782
01-05-2023,291744,Theta Enterprises,1.326,23605,1511261.78,0.3278,0.4956,0.1766
01-06-2024,458911,Delta Co,0.8043,27483,1742950.51,0.8304,0.1599,0.0096
01-03-2024,378594,Epsilon Ltd,1.9743,28863,1046759.85,0.189,0.1035,0.7076
01-01-2023,647512,Iota Partners,0.8641,10192,607482.82,0.5337,0.2571,0.2092
01-10-2024,130087,Kappa Dynamics,2.319,14691,740878.29,0.8552,0.1057,0.0391
01-05-2023,331677,Beta LLC,2.0262,17254,1131121.85,0.0326,0.8723,0.0951
01-08-2024,830057,Theta Enterprises,2.0517,15328,878312.87,0.0225,0.7153,0.2623
01-02-2023,578518,Kappa Dynamics,0.9829,12883,384021.84,0.5723,0.123,0.3047
01-09-2023,631321,Iota Partners,1.3082,21623,1362408.19,0.3715,0.2098,0.4188
01-12-2023,923756,Zeta Group,0.5523,12184,341801.31,0.0126,0.3735,0.6139
01-04-2023,502952,Gamma Inc,0.6372,20638,556510.84,0.0255,0.7686,0.2059
01-10-2024,167030,Iota Partners,2.022,26019,1415762,0.564,0.1526,0.2834
01-05-2023,927350,Beta LLC,1.9961,22074,1023736.24,0.6284,0.166,0.2056
01-04-2023,240282,Gamma Inc,2.1943,24579,828877.73,0.2021,0.1677,0.6301
01-05-2023,974938,Iota Partners,2.3721,20861,917447.91,0.0636,0.9105,0.026
01-07-2024,286141,Delta Co,1.634,26071,1114363.05,0.1016,0.8623,0.036
01-11-2023,429695,Eta Solutions,1.5112,15260,468892.71,0.3823,0.4893,0.1284
01-09-2023,727290,Alpha Corp,1.6939,20843,579573.11,0.2096,0.2289,0.5615
01-11-2023,841471,Zeta Group,1.7258,17449,947303.86,0.0477,0.4995,0.4527
01-09-2023,333065,Theta Enterprises,1.211,17435,674331.77,0.4667,0.5133,0.0199
01-06-2024,509926,Delta Co,1.954,20552,1336540.14,0.0445,0.5958,0.3597
01-04-2024,844571,Gamma Inc,2.4789,15797,1192632.52,0.6232,0.0399,0.3369
01-06-2024,451054,Delta Co,2.0924,26166,745337.94,0.3598,0.5538,0.0864
01-03-2024,552548,Kappa Dynamics,2.0371,15157,641004.3,0.3018,0.6167,0.0815
01-02-2024,271870,Zeta Group,0.969,20893,787137.76,0.0632,0.1596,0.7772
01-12-2023,410224,Beta LLC,2.0947,13883,418284.35,0.1912,0.777,0.0318
01-12-2023,366041,Delta Co,2.476,25228,698416.71,0.0506,0.6167,0.3326
01-02-2024,186838,Theta Enterprises,2.0541,17281,441248.33,0.3879,0.442,0.1701
01-05-2023,770890,Iota Partners,2.3459,11162,548069.98,0.6874,0.1527,0.1599
01-09-2023,414973,Delta Co,0.5286,21931,1502779.17,0.3251,0.5813,0.0936
01-02-2024,587355,Eta Solutions,2.4201,28474,2263556.03,0.4372,0.1577,0.4052
01-12-2024,824899,Gamma Inc,1.2157,22879,1046053.7,0.4036,0.0231,0.5733
01-11-2024,693258,Alpha Corp,0.5428,29485,1120450.37,0.7325,0.0347,0.2328
01-11-2024,317416,Eta Solutions,2.2067,12408,514787.74,0.4224,0.3461,0.2316
01-10-2024,163367,Epsilon Ltd,2.0638,16616,958408.02,0.4713,0.0105,0.5182
01-02-2023,928579,Zeta Group,2.23,18794,1223150.76,0.3088,0.5273,0.1639
01-12-2024,655624,Theta Enterprises,2.1301,29337,1685475.06,0.2152,0.4296,0.3552
01-06-2024,764454,Kappa Dynamics,0.6678,26841,1950699.8,0.0816,0.1722,0.7462
01-12-2024,236650,Zeta Group,0.7197,16358,433494.62,0.3862,0.5711,0.0427
01-03-2023,756456,Beta LLC,1.7709,25071,1667873.97,0.3832,0.2582,0.3586
01-04-2024,666703,Alpha Corp,1.958,25954,887397.66,0.5042,0.2445,0.2514
01-03-2023,347743,Epsilon Ltd,1.7892,29905,1514907.41,0.2153,0.3919,0.3928
01-06-2023,390719,Epsilon Ltd,0.5706,27077,2120335.8,0.3122,0.1643,0.5235
01-02-2023,823483,Eta Solutions,1.1566,12633,716772.88,0.0623,0.3214,0.6164
01-04-2023,125041,Gamma Inc,1.2362,15747,706889.97,0.4394,0.0006,0.56
01-06-2024,801922,Theta Enterprises,1.4858,25945,1913898.73,0.2612,0.6915,0.0473
01-04-2023,807775,Delta Co,0.8456,22049,1358324.18,0.1559,0.1026,0.7415
